Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Mar-76,0.0167,0.0166,0.0075,0.004,-0.0233,-0.0267,0.0392,0.0445,-0.0004,-0.0602,-0.0204,-0.0125,0.0337,-0.0015
Apr-76,-0.0015,0.0018,0.0116,0.0042,0.0235,-0.012,-0.0597,-0.0654,0.0064,0.0004,-0.0093,0.0178,-0.0078,-0.0359
May-76,-0.0103,-0.0158,-0.0145,0.0037,0.0103,-0.0461,-0.0303,-0.0506,0.0055,-0.1045,-0.0226,0.0069,-0.0111,-0.0361
Jun-76,0.015,0.0208,0.0159,0.0043,0.0134,-0.0021,0.016,0.0294,0.0499,0.0011,-0.0135,-0.006,0.0443,0.0459
Jul-76,0.0149,0.0078,0.0119,0.0047,0.1021,-0.0181,-0.0087,-0.0224,-0.0186,-0.0327,-0.0913,-0.0139,-0.0048,0.0045
Aug-76,0.0231,0.0211,0.0189,0.0042,-0.0028,-0.0209,0.0023,0.0285,0.035,-0.0496,-0.0756,-0.0086,-0.0018,-0.0290
Sep-76,0.0167,0.0145,0.0076,0.0044,-0.0806,-0.0267,0.0477,-0.0072,0.0053,-0.1144,0.1154,-0.0118,0.0258,0.0104
Oct-76,0.007,0.0084,0.0147,0.0041,-0.0599,-0.0735,-0.0614,-0.0455,-0.0524,-0.1315,0.0616,-0.036,-0.0186,-0.0209
Nov-76,0.0319,0.0339,0.0321,0.004,-0.21,0.0446,0.054,0.0512,-0.0112,0.1031,0.0577,-0.1247,-0.0041,0.0404
Dec-76,0.0347,0.0327,0.0026,0.004,0.1157,0.0871,0.0261,0.1419,0.1523,0.2242,0.0326,0.1387,0.0561,0.1180
Jan-77,-0.0303,-0.0388,-0.019,0.0036,0.0177,0.007,-0.0177,-0.0322,-0.0299,0.0953,-0.0164,-0.0293,-0.0473,0.0450
Feb-77,-0.002,-0.0049,0.0048,0.0035,-0.0301,0.0092,-0.0154,-0.0202,0.0512,0.0237,0.079,-0.008,-0.0182,-0.0039
Mar-77,0.0094,0.0091,0.0055,0.0038,0.0592,0.0076,0.0336,-0.0285,-0.0097,0.0328,0.0431,0.0079,-0.0105,0.0131
Apr-77,0.01,0.0071,0.0051,0.0038,-0.0113,0.0371,0.085,0.0546,0.0184,0.034,-0.0111,-0.0224,0.0042,0.0228
May-77,0.0106,0.0125,0.0056,0.0037,0.0451,-0.0067,-0.0207,-0.0276,-0.0063,0.0253,-0.0292,-0.0179,-0.0196,-0.0028
Jun-77,0.0175,0.0164,0.0102,0.004,-0.0032,0.0127,-0.0193,0.0094,0.0394,0.0309,0.0003,0.0421,0.0494,0.0772
Jul-77,-0.0005,-0.007,0.0001,0.0042,-0.0547,-0.015,0.0338,-0.045,-0.012,-0.0155,0.0077,-0.0037,-0.0124,0.0030
Aug-77,0.0136,0.0198,0.0008,0.0044,-0.0485,0.045,0.0057,0.0247,0.0528,0.1188,0.0132,-0.0414,-0.0172,-0.0107
Sep-77,-0.0022,-0.0029,0.0015,0.0043,-0.0005,0.0432,0.0189,-0.0284,0.0142,0.0836,0.0551,0.0051,0.0016,0.0092
Oct-77,-0.0038,-0.0093,-0.006,0.0049,0.074,0.0254,0.0547,-0.0074,0.0195,0.0166,0.0484,-0.0681,-0.0390,-0.0330
Nov-77,0.0061,0.0093,0.0079,0.005,-0.027,-0.0166,0.0197,0.007,0.0028,-0.0527,-0.009,0.0586,0.0316,0.1086
Dec-77,-0.0105,-0.0168,-0.0023,0.0049,0.0901,0.0539,0.0494,-0.0269,0.0071,0.0664,0.0306,0.0592,0.0075,0.0081
Jan-78,-0.0089,-0.008,0.0013,0.0049,-0.0481,-0.0013,0.0124,0.0043,0.0421,-0.027,0.0655,-0.0727,-0.0574,-0.0189
Feb-78,0.0051,0.0004,0.0017,0.0046,-0.055,-0.0023,0.04,0.0145,0.0379,-0.0545,0.037,-0.0023,-0.0203,0.0347
Mar-78,0.0042,-0.0021,0.0037,0.0053,0.0567,0.0346,0.0036,0.0949,0.1294,0.0264,-0.0036,0.0451,0.0294,0.1032
